CPUs;Input Size;Time;Output
1;10x1M.txt;5.301730;y
1;10x1M.txt;5.306400;y
1;10x1M.txt;5.289531;y
1;10x1M.txt;5.295837;y
1;10x1M.txt;5.296524;y
1;10x1M.txt;5.292592;y
1;10x1M.txt;5.293959;y
1;10x1M.txt;5.292204;y
1;10x1M.txt;5.286254;y
1;10x1M.txt;5.298644;y
1;10x2M.txt;11.870416;y
1;10x2M.txt;11.850182;y
1;10x2M.txt;11.854152;y
1;10x2M.txt;11.851907;y
1;10x2M.txt;11.845846;y
1;10x2M.txt;11.847321;y
1;10x2M.txt;11.849204;y
1;10x2M.txt;11.846602;y
1;10x2M.txt;11.850001;y
1;10x2M.txt;11.844363;y
1;10x5M.txt;111.444959;y
1;10x5M.txt;111.041971;y
1;10x5M.txt;110.839029;y
1;10x5M.txt;110.944290;y
1;10x5M.txt;110.834475;y
1;10x5M.txt;110.746449;y
1;10x5M.txt;110.807173;y
1;10x5M.txt;110.783156;y
1;10x5M.txt;110.727231;y
1;10x5M.txt;110.729449;y
2;10x1M.txt;3.355876;y
2;10x1M.txt;3.345570;y
2;10x1M.txt;3.343220;y
2;10x1M.txt;3.339497;y
2;10x1M.txt;3.338817;y
2;10x1M.txt;3.362333;y
2;10x1M.txt;3.340753;y
2;10x1M.txt;3.360281;y
2;10x1M.txt;3.337069;y
2;10x1M.txt;3.355127;y
2;10x2M.txt;7.442260;y
2;10x2M.txt;7.440058;y
2;10x2M.txt;7.447623;y
2;10x2M.txt;7.402284;y
2;10x2M.txt;7.451612;y
2;10x2M.txt;7.397092;y
2;10x2M.txt;7.397034;y
2;10x2M.txt;7.436315;y
2;10x2M.txt;7.397842;y
2;10x2M.txt;7.407872;y
2;10x5M.txt;64.572820;y
2;10x5M.txt;64.738057;y
2;10x5M.txt;64.533998;y
2;10x5M.txt;64.796726;y
2;10x5M.txt;64.434711;y
2;10x5M.txt;64.662475;y
2;10x5M.txt;64.438688;y
2;10x5M.txt;64.411729;y
2;10x5M.txt;64.473442;y
2;10x5M.txt;64.750255;y
4;10x1M.txt;2.868751;y
4;10x1M.txt;2.865891;y
4;10x1M.txt;2.877732;y
4;10x1M.txt;2.866219;y
4;10x1M.txt;2.865017;y
4;10x1M.txt;2.859031;y
4;10x1M.txt;2.857422;y
4;10x1M.txt;2.858385;y
4;10x1M.txt;2.865048;y
4;10x1M.txt;2.857144;y
4;10x2M.txt;6.357525;y
4;10x2M.txt;6.340585;y
4;10x2M.txt;6.328895;y
4;10x2M.txt;6.326479;y
4;10x2M.txt;6.331472;y
4;10x2M.txt;6.329654;y
4;10x2M.txt;6.327709;y
4;10x2M.txt;6.328052;y
4;10x2M.txt;6.345014;y
4;10x2M.txt;6.328636;y
4;10x5M.txt;52.687247;y
4;10x5M.txt;52.684226;y
4;10x5M.txt;52.677653;y
4;10x5M.txt;52.669214;y
4;10x5M.txt;52.679669;y
4;10x5M.txt;52.651191;y
4;10x5M.txt;52.655298;y
4;10x5M.txt;52.677733;y
4;10x5M.txt;52.628971;y
4;10x5M.txt;52.588057;y
8;10x1M.txt;2.868349;y
8;10x1M.txt;2.858990;y
8;10x1M.txt;2.861364;y
8;10x1M.txt;2.840702;y
8;10x1M.txt;2.845188;y
8;10x1M.txt;2.847605;y
8;10x1M.txt;2.858606;y
8;10x1M.txt;2.848892;y
8;10x1M.txt;2.861287;y
8;10x1M.txt;2.852251;y
8;10x2M.txt;6.359971;y
8;10x2M.txt;6.358566;y
8;10x2M.txt;6.345234;y
8;10x2M.txt;6.334570;y
8;10x2M.txt;6.352911;y
8;10x2M.txt;6.361146;y
8;10x2M.txt;6.356140;y
8;10x2M.txt;6.339465;y
8;10x2M.txt;6.342085;y
8;10x2M.txt;6.356437;y
8;10x5M.txt;52.930821;y
8;10x5M.txt;52.973841;y
8;10x5M.txt;52.888052;y
8;10x5M.txt;52.932206;y
8;10x5M.txt;52.876338;y
8;10x5M.txt;52.944472;y
8;10x5M.txt;52.933081;y
8;10x5M.txt;52.920191;y
8;10x5M.txt;52.860892;y
8;10x5M.txt;52.886062;y
16;10x1M.txt;2.897748;y
16;10x1M.txt;2.891329;y
16;10x1M.txt;2.904559;y
16;10x1M.txt;2.900745;y
16;10x1M.txt;2.896151;y
16;10x1M.txt;2.894761;y
16;10x1M.txt;2.890479;y
16;10x1M.txt;2.891651;y
16;10x1M.txt;2.878711;y
16;10x1M.txt;2.883950;y
16;10x2M.txt;6.422760;y
16;10x2M.txt;6.400611;y
16;10x2M.txt;6.385853;y
16;10x2M.txt;6.397286;y
16;10x2M.txt;6.379408;y
16;10x2M.txt;6.390938;y
16;10x2M.txt;6.389334;y
16;10x2M.txt;6.401850;y
16;10x2M.txt;6.379192;y
16;10x2M.txt;6.383633;y
16;10x5M.txt;53.107331;y
16;10x5M.txt;53.017270;y
16;10x5M.txt;53.057414;y
16;10x5M.txt;53.040729;y
16;10x5M.txt;53.070035;y
16;10x5M.txt;53.098329;y
16;10x5M.txt;53.017336;y
16;10x5M.txt;53.055879;y
16;10x5M.txt;53.060065;y
16;10x5M.txt;53.050536;y
